atcc_annotation,cell_line,eigenstrat,primary_site
,EJM,EA,haematopoietic_and_lymphoid_tissue
,EM2,EA,haematopoietic_and_lymphoid_tissue
,EOL1,EA,haematopoietic_and_lymphoid_tissue
,EOL1CELL,EA,haematopoietic_and_lymphoid_tissue
,F36P,EAA,haematopoietic_and_lymphoid_tissue
White,FARAGE,EA,haematopoietic_and_lymphoid_tissue
White,GA10,EA,haematopoietic_and_lymphoid_tissue
White,GDM1,EA,haematopoietic_and_lymphoid_tissue
,GRANTA519,EA,haematopoietic_and_lymphoid_tissue
,GRST,EAA,haematopoietic_and_lymphoid_tissue
White,H9,EA,haematopoietic_and_lymphoid_tissue
,HAL01,EAA,haematopoietic_and_lymphoid_tissue
,HC1,EA,haematopoietic_and_lymphoid_tissue
,HDLM2,EA,haematopoietic_and_lymphoid_tissue
,HDMYZ,EA,haematopoietic_and_lymphoid_tissue
,HEL,EA,haematopoietic_and_lymphoid_tissue
White,HEL9217,EA,haematopoietic_and_lymphoid_tissue
White,HH,EA,haematopoietic_and_lymphoid_tissue
White,HL60,EA,haematopoietic_and_lymphoid_tissue
,MZ2MEL,EA,skin
,MZ7MEL,EA,skin
White,RPMI7951,EA,skin
,RVH421,EA,skin
White,SH4,EA,skin
White,SKMEL1,EA,skin
White,SKMEL2,EA,skin
White,SKMEL24,EA,skin
,SKMEL28,EA,skin
White,SKMEL3,EA,skin
,SKMEL30,EA,skin
,SKMEL31,EA,skin
White,SKMEL5,EA,skin
,UACC257,EA,skin
,UACC62,EA,skin
,VMRCMELG,EA,skin
,WM115,EA,skin
,WM1552C,EA,skin
,WM1799,EA,skin
,WM2664,EA,skin
,KNS62,EAA,lung
,LB647SCLC,EA,lung
,LC1F,EAA,lung
,LC1SQ,EAA,lung
,LC1SQSF,EAA,lung
,LC2AD,EAA,lung
,LCLC103H,EA,lung
,LCLC97TM1,EA,lung
,LK2,EAA,lung
,LOUNH91,EA,lung
,LU134A,EAA,lung
,LU135,EAA,lung
,LU139,EAA,lung
,LU165,EAA,lung
,LU65,EAA,lung
,LU99,EAA,lung
,LU99A,EAA,lung
,LUDLU1,EA,lung
,LXF289,EA,lung
,MORCPR,EA,lung
,HPBALL,EAA,haematopoietic_and_lymphoid_tissue
White,HS445,EA,haematopoietic_and_lymphoid_tissue
White,HS604T,EA,haematopoietic_and_lymphoid_tissue
,HS611T,EA,haematopoietic_and_lymphoid_tissue
White,HS616T,EA,haematopoietic_and_lymphoid_tissue
,HS751T,EA,haematopoietic_and_lymphoid_tissue
White,HT,EA,haematopoietic_and_lymphoid_tissue
,HTK,EA,haematopoietic_and_lymphoid_tissue
,HUNS1,EA,haematopoietic_and_lymphoid_tissue
,HUT102,AA,haematopoietic_and_lymphoid_tissue
,HUT78,EA,haematopoietic_and_lymphoid_tissue
White,IM9,EA,haematopoietic_and_lymphoid_tissue
,JEKO1,EAA,haematopoietic_and_lymphoid_tissue
,JIYOYEP2003,AA,haematopoietic_and_lymphoid_tissue
,JJN3,EA,haematopoietic_and_lymphoid_tissue
,JK1,EAA,haematopoietic_and_lymphoid_tissue
,JM1,EA,haematopoietic_and_lymphoid_tissue
,JSC1,EA,haematopoietic_and_lymphoid_tissue
,JURKAT,EA,haematopoietic_and_lymphoid_tissue
,JURLMK1,EA,haematopoietic_and_lymphoid_tissue
,WM278,EA,skin
,WM35,EA,skin
,WM793,EA,skin
,WM793B,EA,skin
,WM88,EA,skin
,WM983B,EA,skin
,MS1,EAA,lung
,NCIH1048,AA,lung
White,NCIH1092,EA,lung
White,NCIH1105,EA,lung
White,NCIH1155,EA,lung
White,NCIH1184,EA,lung
Black,NCIH128,AA,lung
White,NCIH1299,EA,lung
,NCIH1304,EA,lung
,NCIH1339,AA,lung
,NCIH1341,EA,lung
White,NCIH1355,EA,lung
Black,NCIH1373,AA,lung
Black,NCIH1385,AA,lung
White,NCIH1395,EA,lung
White,NCIH1417,EA,lung
,NCIH1435,NA,lung
White,NCIH1436,EA,lung
White,NCIH1437,EA,lung
White,NCIH146,EA,lung
White,JVM2,EA,haematopoietic_and_lymphoid_tissue
,JVM3,EA,haematopoietic_and_lymphoid_tissue
,K562,EA,haematopoietic_and_lymphoid_tissue
,KARPAS1106P,EA,haematopoietic_and_lymphoid_tissue
,KARPAS231,EA,haematopoietic_and_lymphoid_tissue
,KARPAS299,EA,haematopoietic_and_lymphoid_tissue
,KARPAS422,EA,haematopoietic_and_lymphoid_tissue
,KARPAS620,EA,haematopoietic_and_lymphoid_tissue
Asian,KASUMI1,EAA,haematopoietic_and_lymphoid_tissue
,KASUMI2,EAA,haematopoietic_and_lymphoid_tissue
Asian,KASUMI6,EAA,haematopoietic_and_lymphoid_tissue
,KCL22,EAA,haematopoietic_and_lymphoid_tissue
,KE37,EA,haematopoietic_and_lymphoid_tissue
,KE97,EAA,haematopoietic_and_lymphoid_tissue
White,KG1,AA,haematopoietic_and_lymphoid_tissue
,KHM1B,EAA,haematopoietic_and_lymphoid_tissue
,KMH2,EAA,haematopoietic_and_lymphoid_tissue
,KMM1,EAA,haematopoietic_and_lymphoid_tissue
,KMOE2,EAA,haematopoietic_and_lymphoid_tissue
,KMS11,EAA,haematopoietic_and_lymphoid_tissue
,NCIH1563,EA,lung
White,NCIH1568,EA,lung
White,NCIH1573,EA,lung
White,NCIH1581,EA,lung
White,NCIH1618,EA,lung
White,NCIH1623,EA,lung
Black,NCIH1648,AA,lung
White,NCIH1650,EA,lung
,NCIH1651,EA,lung
White,NCIH1666,EA,lung
White,NCIH1688,EA,lung
White,NCIH1693,EA,lung
White,NCIH1694,EA,lung
White,NCIH1703,EA,lung
,NCIH1734,EA,lung
White,NCIH1755,EA,lung
White,NCIH1770,EA,lung
White,NCIH1781,EA,lung
White,NCIH1792,EA,lung
,NCIH1793,EA,lung
,KMS12BM,EAA,haematopoietic_and_lymphoid_tissue
,KMS18,EAA,haematopoietic_and_lymphoid_tissue
,KMS20,EAA,haematopoietic_and_lymphoid_tissue
,KMS21BM,EAA,haematopoietic_and_lymphoid_tissue
,KMS26,EAA,haematopoietic_and_lymphoid_tissue
,KMS27,EAA,haematopoietic_and_lymphoid_tissue
,KMS28BM,EAA,haematopoietic_and_lymphoid_tissue
,KMS34,EAA,haematopoietic_and_lymphoid_tissue
,KO52,EAA,haematopoietic_and_lymphoid_tissue
,KOPN8,EAA,haematopoietic_and_lymphoid_tissue
Asian,KU812,EAA,haematopoietic_and_lymphoid_tissue
,KY821,EAA,haematopoietic_and_lymphoid_tissue
,KYO1,EAA,haematopoietic_and_lymphoid_tissue
,L1236,EA,haematopoietic_and_lymphoid_tissue
,L363,EA,haematopoietic_and_lymphoid_tissue
,L428,EA,haematopoietic_and_lymphoid_tissue
,L540,EA,haematopoietic_and_lymphoid_tissue
,LAMA84,EA,haematopoietic_and_lymphoid_tissue
,LC41,EAA,haematopoietic_and_lymphoid_tissue
,Line 697,EA,haematopoietic_and_lymphoid_tissue
White,NCIH1836,EA,lung
,NCIH1838,EA,lung
White,NCIH1869,EA,lung
White,NCIH187,EA,lung
White,NCIH1876,EA,lung
White,NCIH1915,EA,lung
White,NCIH1930,EA,lung
White,NCIH1944,EA,lung
White,NCIH196,EA,lung
Black,NCIH1963,AA,lung
,NCIH1975,EA,lung
White,NCIH1993,EA,lung
White,NCIH2009,EA,lung
White,NCIH2023,EA,lung
White,NCIH2029,EA,lung
,NCIH2030,EA,lung
White,NCIH2066,EA,lung
White,NCIH2073,EA,lung
White,NCIH2081,EA,lung
,NCIH2085,EA,lung
White,LOUCY,EA,haematopoietic_and_lymphoid_tissue
,LP1,EA,haematopoietic_and_lymphoid_tissue
,M07E,EA,haematopoietic_and_lymphoid_tissue
,MC1010,EA,haematopoietic_and_lymphoid_tissue
,MC116,EA,haematopoietic_and_lymphoid_tissue
,ME1,EAA,haematopoietic_and_lymphoid_tissue
,MEC1,EA,haematopoietic_and_lymphoid_tissue
,MEC2,EA,haematopoietic_and_lymphoid_tissue
,MEG01,EAA,haematopoietic_and_lymphoid_tissue
,MHHCALL2,EA,haematopoietic_and_lymphoid_tissue
,MHHCALL3,EA,haematopoietic_and_lymphoid_tissue
,MHHCALL4,EA,haematopoietic_and_lymphoid_tissue
,MHHPREB1,EA,haematopoietic_and_lymphoid_tissue
White,MINO,EA,haematopoietic_and_lymphoid_tissue
White,MJ,EA,haematopoietic_and_lymphoid_tissue
,ML2,EA,haematopoietic_and_lymphoid_tissue
,MLMA,EAA,haematopoietic_and_lymphoid_tissue
Black,MM1S,AA,haematopoietic_and_lymphoid_tissue
,MN60,EA,haematopoietic_and_lymphoid_tissue
,MOLM13,EAA,haematopoietic_and_lymphoid_tissue
White,NCIH2087,EA,lung
White,NCIH209,EA,lung
White,NCIH2106,EA,lung
White,NCIH211,EA,lung
,NCIH2110,AA,lung
White,NCIH2122,EA,lung
White,NCIH2126,EA,lung
,NCIH2135,EA,lung
White,NCIH2141,EA,lung
,NCIH2170,EA,lung
White,NCIH2171,EA,lung
,NCIH2172,AA,lung
White,NCIH2196,EA,lung
White,NCIH2227,EA,lung
,NCIH2228,EA,lung
,NCIH226,EA,lung
White,NCIH2286,EA,lung
,NCIH2291,EA,lung
Black,NCIH23,AA,lung
White,NCIH2342,EA,lung
,MOLM16,EAA,haematopoietic_and_lymphoid_tissue
,MOLM6,EAA,haematopoietic_and_lymphoid_tissue
,MOLP2,EAA,haematopoietic_and_lymphoid_tissue
,MOLP8,EAA,haematopoietic_and_lymphoid_tissue
,MOLT13,EA,haematopoietic_and_lymphoid_tissue
,MOLT16,AA,haematopoietic_and_lymphoid_tissue
,MOLT4,EA,haematopoietic_and_lymphoid_tissue
,MONOMAC1,EA,haematopoietic_and_lymphoid_tissue
,MONOMAC6,EA,haematopoietic_and_lymphoid_tissue
,MOT,EA,haematopoietic_and_lymphoid_tissue
,MOTN1,EAA,haematopoietic_and_lymphoid_tissue
,MUTZ5,EA,haematopoietic_and_lymphoid_tissue
,MV411,EA,haematopoietic_and_lymphoid_tissue
,MYM12,EAA,haematopoietic_and_lymphoid_tissue
,NALM1,AA,haematopoietic_and_lymphoid_tissue
,NALM19,EAA,haematopoietic_and_lymphoid_tissue
,NALM6,EA,haematopoietic_and_lymphoid_tissue
,NAMALWA,AA,haematopoietic_and_lymphoid_tissue
,NB4,EA,haematopoietic_and_lymphoid_tissue
White,NCIH929,EA,haematopoietic_and_lymphoid_tissue
White,NCIH2347,EA,lung
White,NCIH2405,EA,lung
,NCIH2444,EA,lung
Black,NCIH250,AA,lung
Black,NCIH292,AA,lung
,NCIH3122,EA,lung
,NCIH322,EA,lung
,NCIH322M,EA,lung
,NCIH3255,EA,lung
White,NCIH345,EA,lung
,NCIH358,EA,lung
White,NCIH378,EA,lung
,NCIH441,EA,lung
White,NCIH446,EA,lung
,NCIH460,EA,lung
White,NCIH510,EA,lung
White,NCIH510A,EA,lung
,NCIH520,EA,lung
White,NCIH522,EA,lung
White,NCIH524,EA,lung
,NCO2,EAA,haematopoietic_and_lymphoid_tissue
White,NK92MI,EA,haematopoietic_and_lymphoid_tissue
,NKM1,EAA,haematopoietic_and_lymphoid_tissue
,NOMO1,EAA,haematopoietic_and_lymphoid_tissue
,NUDHL1,EA,haematopoietic_and_lymphoid_tissue
,NUDUL1,EA,haematopoietic_and_lymphoid_tissue
,OCIAML2,EA,haematopoietic_and_lymphoid_tissue
,OCIAML3,EA,haematopoietic_and_lymphoid_tissue
,OCIAML5,EA,haematopoietic_and_lymphoid_tissue
,OCILY10,EA,haematopoietic_and_lymphoid_tissue
,OCILY19,EA,haematopoietic_and_lymphoid_tissue
,OCILY3,EA,haematopoietic_and_lymphoid_tissue
,OCILY7,EA,haematopoietic_and_lymphoid_tissue
,OCIM1,EA,haematopoietic_and_lymphoid_tissue
,OPM2,EAA,haematopoietic_and_lymphoid_tissue
,P12ICHIKAWA,EAA,haematopoietic_and_lymphoid_tissue
,P30OHK,EAA,haematopoietic_and_lymphoid_tissue
,P31FUJ,EAA,haematopoietic_and_lymphoid_tissue
,P32ISH,EAA,haematopoietic_and_lymphoid_tissue
Black,P3HR1,AA,haematopoietic_and_lymphoid_tissue
White,NCIH526,EA,lung
White,NCIH596,EA,lung
White,NCIH64,AA,lung
White,NCIH647,EA,lung
,NCIH650,EA,lung
White,NCIH661,EA,lung
White,NCIH69,EA,lung
,NCIH720,EA,lung
White,NCIH727,EA,lung
White,NCIH740,EA,lung
Black,NCIH748,AA,lung
Black,NCIH810,AA,lung
White,NCIH82,EA,lung
White,NCIH820,EA,lung
Black,NCIH835,AA,lung
White,NCIH838,EA,lung
White,NCIH841,EA,lung
White,NCIH847,EA,lung
White,NCIH854,EA,lung
,NCIH889,EA,lung
,PCM6,EAA,haematopoietic_and_lymphoid_tissue
,PEER,EA,haematopoietic_and_lymphoid_tissue
,PF382,EA,haematopoietic_and_lymphoid_tissue
White,PFEIFFER,EA,haematopoietic_and_lymphoid_tissue
,PL21,EAA,haematopoietic_and_lymphoid_tissue
,QIMRWIL,EA,haematopoietic_and_lymphoid_tissue
Black,RAJI,AA,haematopoietic_and_lymphoid_tissue
White,RAMOS2G64C10,NA,haematopoietic_and_lymphoid_tissue
,RCHACV,EA,haematopoietic_and_lymphoid_tissue
,RCK8,EAA,haematopoietic_and_lymphoid_tissue
,REC1,EA,haematopoietic_and_lymphoid_tissue
,REH,EA,haematopoietic_and_lymphoid_tissue
,RI1,EA,haematopoietic_and_lymphoid_tissue
White,RL,EA,haematopoietic_and_lymphoid_tissue
,RPMI8226,AA,haematopoietic_and_lymphoid_tissue
,RPMI8402,EA,haematopoietic_and_lymphoid_tissue
White,RS411,EA,haematopoietic_and_lymphoid_tissue
,SEM,EA,haematopoietic_and_lymphoid_tissue
,SET2,EAA,haematopoietic_and_lymphoid_tissue
,SIGM5,EA,haematopoietic_and_lymphoid_tissue
,PC14,EAA,lung
,PC-3,EAA,lung
,RERFLCAD1,EAA,lung
,RERFLCAD2,EAA,lung
,RERFLCAI,EAA,lung
,RERFLCFM,EAA,lung
,RERFLCKJ,EAA,lung
,RERFLCMS,EAA,lung
,RERFLCSQ1,EAA,lung
,SALE,EA,lung
,SBC5,EAA,lung
,SCLC21H,EA,lung
White,SHP77,EA,lung
White,SKLU1,EA,lung
White,SKMES1,EA,lung
White,SW1271,EA,lung
White,SW1573,EA,lung
White,SW900,EA,lung
,TIG3TD,EAA,lung
,UMC11,EA,lung
,SKM1,EAA,haematopoietic_and_lymphoid_tissue
,SKMM2,EA,haematopoietic_and_lymphoid_tissue
White,SUDHL6,EA,haematopoietic_and_lymphoid_tissue
White,SUDHL8,EA,haematopoietic_and_lymphoid_tissue
White,SUPB15,EA,haematopoietic_and_lymphoid_tissue
,SUPB8,EA,haematopoietic_and_lymphoid_tissue
,SUPHD1,EA,haematopoietic_and_lymphoid_tissue
,SUPM2,EA,haematopoietic_and_lymphoid_tissue
White,SUPT1,EA,haematopoietic_and_lymphoid_tissue
,TALL1,EAA,haematopoietic_and_lymphoid_tissue
Asian,TF1,EAA,haematopoietic_and_lymphoid_tissue
,THP1,EAA,haematopoietic_and_lymphoid_tissue
,TK,EAA,haematopoietic_and_lymphoid_tissue
White,TO175T,EA,haematopoietic_and_lymphoid_tissue
White,TOLEDO,EA,haematopoietic_and_lymphoid_tissue
White,TUR,EA,haematopoietic_and_lymphoid_tissue
,U266,EA,haematopoietic_and_lymphoid_tissue
,U266B1,EA,haematopoietic_and_lymphoid_tissue
,U698M,EA,haematopoietic_and_lymphoid_tissue
White,U937,EA,haematopoietic_and_lymphoid_tissue
,VMRCLCD,EA,lung
,VMRCLCP,EA,lung
,UT7,EAA,haematopoietic_and_lymphoid_tissue
,VAL,EA,haematopoietic_and_lymphoid_tissue
White,WIL2NS,EA,haematopoietic_and_lymphoid_tissue
,WSUDLCL2,EA,haematopoietic_and_lymphoid_tissue
,WSUNHL,EA,haematopoietic_and_lymphoid_tissue
,YT,EAA,haematopoietic_and_lymphoid_tissue
