atcc_annotation,cell_line,eigenstrat,primary_site
,KE39,EAA,stomach
,LMSU,EAA,stomach
,MKN1,EAA,stomach
,MKN28,EAA,stomach
White,KLE,EA,endometrium
,MFE280,EA,endometrium
,MFE296,EA,endometrium
,MFE319,EA,endometrium
White,RL952,EA,endometrium
,TEN,EAA,endometrium
White,A253,EA,salivary_gland
,HO1N1,EAA,salivary_gland
,YD15,EAA,salivary_gland
,A204,EA,soft_tissue
White,G401,EA,soft_tissue
White,G402,EA,soft_tissue
,GCT,EA,soft_tissue
White,HT1080,EA,soft_tissue
,KYM1,EAA,soft_tissue
White,MESSA,EA,soft_tissue
,MFHINO,EAA,soft_tissue
White,RD,EA,soft_tissue
,RH1,EA,soft_tissue
,RH18,AA,soft_tissue
,RH30,EA,soft_tissue
,RH41,EA,soft_tissue
,RKN,EAA,soft_tissue
,S117,EA,soft_tissue
White,SJRH30,EA,soft_tissue
White,SKLMS1,EA,soft_tissue
White,SW684,EA,soft_tissue
White,SW872,EA,soft_tissue
White,SW982,EA,soft_tissue
,22RV1,EA,prostate
,BPH1,EA,prostate
White,DU145,EA,prostate
White,LNCAPCLONEFGC,EA,prostate
Black,MDAPCA2B,AA,prostate
White,NCIH660,EA,prostate
White,PC3,EA,prostate
,PRECLH,EA,prostate
White,PWR1E,EA,prostate
White,VCAP,EA,prostate
,451LU,EA,skin
White,A101D,EA,skin
White,A2058,EA,skin
,A375,EA,skin
,A388,EA,skin
,A431,EA,skin
,BJHTERT,EA,skin
White,C32,EA,skin
,CHL1,EA,skin
,CJM,EAA,skin
,COLO679,EA,skin
,COLO741,EA,skin
,COLO783,EA,skin
,COLO792,EA,skin
,COLO800,EA,skin
,COLO818,EA,skin
White,COLO829,EA,skin
,COLO849,EA,skin
,CP50MELB,EA,skin
,CP66MEL,EA,skin
White,JAR,EA,placenta
,JEG3,EA,placenta
White,ASPC1,EA,pancreas
,BXPC3,EA,pancreas
White,CAPAN1,EA,pancreas
White,CAPAN2,EA,pancreas
White,CFPAC1,EA,pancreas
,DANG,EA,pancreas
